id,type,x,y,z,qx,qy,qz,qw,comment
1,g,39566.35546875,49871.83984375,0.0,0.0,0.0,0.9450900042568234,0.32681016485696646,pal-pal
2,c,40266.0234375,46863.22265625,0,0,0,-0.731183693996947,0.682180625372034,shirasu
3,c,40192.13671875,46769.2578125,0,0,0,-0.994905060350463,0.10081627293766,studium-return
4,c,39670.6875,47074.28515625,0,0,0,0.97524614990101,0.221122018585343,unagi_rev
5,c,39137.48828125,48007.484375,0,0,0,0.968032584190302,0.250824472382275,mountain-rev
