id,type,x,y,z,qx,qy,qz,qw,comment
2,g,40106.30859375,44415.33203125,0.0,0.0,0.0,0.3328661857816696,0.9429740730068685,entetsu
1,c,38563.90625,48078.51953125,0,0,0,-0.027739800538894,0.999615177688926,mountain
2,c, 39669.30078125,47078.04296875,0,0,0,-0.258971097422255,0.965885071165257,unagi
3,c, 39959.2578125,46615.95703125,0,0,0,-0.123014930162659,0.992404820099679,studium-ent
6,c, 40266.0234375,46863.22265625,0,0,0,-0.731183693996947,0.682180625372034,shirasu
