id,x,y,z,qx,qy,qz,qw,comment
1,38563.90625,48078.51953125,0,0,0,-0.027739800538894,0.999615177688926,mountain
2,39669.30078125,47078.04296875,0,0,0,-0.258971097422255,0.965885071165257,unagi
3,39959.2578125,46615.95703125,0,0,0,-0.123014930162659,0.992404820099679,stu
4,40129.36328125,46773.94140625,0,0,0,-0.0674260593284015,0.997724273796846,studium
5,40192.13671875,46769.2578125,0,0,0,-0.994905060350463,0.10081627293766,studium-return
6,40266.0234375,46863.22265625,0,0,0,-0.731183693996947,0.682180625372034,shirasu
7,39670.6875,47074.28515625,0,0,0,0.97524614990101,0.221122018585343,unagi_rev
8,39137.48828125,48007.484375,0,0,0,0.968032584190302,0.250824472382275,mountain-rev
